independent,regression,score,metric,aic
address + bathrooms + property_type,Poly Ridge (deg 2),0.16845060965376657,Adj R²,1122.2818502319603
address + neighbourhood + Area,Poly Ridge (deg 2),0.1680669429829832,Adj R²,1122.325671955993
Area,Log-Linear,0.16784259166116888,Adj R²,1114.8963700844497
address + Area + property_type,Poly OLS (deg 2),0.16729975874714853,Adj R²,1122.4132377972387
address + Area + property_type,Poly Lasso (deg 2),0.16728043884775812,Adj R²,1122.4154419147105
bedrooms,Log-Linear,0.16096565413504282,Adj R²,1115.6782226168132
address + Area + property_type,Poly Ridge (deg 2),0.15960453428371912,Adj R²,1123.287128604559
neighbourhood + style + bedrooms,Poly OLS (deg 2),0.15634597538298334,Adj R²,1123.6547703914393
neighbourhood + style + bedrooms,Poly Lasso (deg 2),0.156326775120887,Adj R²,1123.6569324200555
neighbourhood + bedrooms + proper...,Poly OLS (deg 2),0.15624019670325395,Adj R²,1123.6666808954558
neighbourhood + bedrooms + proper...,Poly Lasso (deg 2),0.15623100824708946,Adj R²,1123.6677154299043
neighbourhood + bedrooms + proper...,Poly Ridge (deg 2),0.155744958765075,Adj R²,1123.7224240136272
neighbourhood + style + bedrooms,Poly Ridge (deg 2),0.15492971032028158,Adj R²,1123.814115775836
address + bedrooms + property_type,Poly OLS (deg 2),0.15281608313760386,Adj R²,1124.0514260877167
address + bedrooms + property_type,Poly Lasso (deg 2),0.15280327818153827,Adj R²,1124.0528619762042
